hidden,output,seed,method,lr,scale,batch,epochs,first_below,best_loss
leaky_relu,relu,8,Adam,0.05,1.0,50,5000,,0.35
leaky_relu,relu,8,Adam,0.05,3.0,50,5000,,0.43
leaky_relu,relu,8,Adam,0.1,1.0,50,5000,,0.39
leaky_relu,relu,8,Adam,0.1,3.0,50,5000,,0.47
leaky_relu,relu,9,Adam,0.03,1.0,50,5000,,0.1020026710317809
leaky_relu,relu,9,Adam,0.03,3.0,50,5000,,0.23
leaky_relu,relu,9,Adam,0.05,1.0,50,5000,,0.26
leaky_relu,relu,9,Adam,0.05,3.0,50,5000,,0.37
leaky_relu,relu,9,Adam,0.1,1.0,50,5000,,0.48
leaky_relu,relu,9,Adam,0.1,3.0,50,5000,,0.49930821880922566
softplus,relu,5,Adam,0.01,1.0,50,3000,2001,9.677105381779757e-09
softplus,relu,6,Adam,0.01,1.0,50,3000,,0.02000203959049258
softplus,relu,7,Adam,0.01,1.0,50,3000,1946,9.961199264241544e-09
softplus,relu,8,Adam,0.01,1.0,50,3000,,0.010000000000011984
softplus,relu,9,Adam,0.01,1.0,50,3000,,0.020000401808641318
softplus,relu,10,Adam,0.01,1.0,50,3000,1698,9.625391319972404e-09
softplus,relu,11,Adam,0.01,1.0,50,3000,1784,9.971557812630564e-09
softplus,relu,12,Adam,0.01,1.0,50,3000,,0.10000000314135533
softplus,relu,13,Adam,0.01,1.0,50,3000,2145,9.045907754150175e-09
softplus,relu,14,Adam,0.01,1.0,50,3000,1968,9.42057346891756e-09
softplus,relu,15,Adam,0.01,1.0,50,3000,,2.186731706954117e-08
softplus,relu,16,Adam,0.01,1.0,50,3000,,0.0800000308993524
softplus,relu,17,Adam,0.01,1.0,50,3000,1885,9.969294561515842e-09
softplus,relu,18,Adam,0.01,1.0,50,3000,2438,9.478399654145008e-09
softplus,relu,19,Adam,0.01,1.0,50,3000,,0.013078317790975654
softplus,relu,20,Adam,0.01,1.0,50,3000,1862,9.873645484688846e-09
softplus,relu,21,Adam,0.01,1.0,50,3000,,0.010000000168352306
softplus,relu,22,Adam,0.01,1.0,50,3000,1915,9.976847032434122e-09
softplus,relu,23,Adam,0.01,1.0,50,3000,1675,9.778243967389217e-09
softplus,relu,24,Adam,0.01,1.0,50,3000,,0.010000000000037156
softplus,relu,25,Adam,0.01,1.0,50,3000,,0.01
softplus,relu,26,Adam,0.01,1.0,50,3000,2802,9.358009610816389e-09
softplus,relu,27,Adam,0.01,1.0,50,3000,,0.030000184699665134
softplus,relu,28,Adam,0.01,1.0,50,3000,,0.020000000000744537
softplus,relu,29,Adam,0.01,1.0,50,3000,,0.04000000034910218
softplus,relu,30,Adam,0.01,1.0,50,3000,,0.01
softplus,relu,31,Adam,0.01,1.0,50,3000,,0.01000052885827537
softplus,relu,32,Adam,0.01,1.0,50,3000,,0.04000000000023224
softplus,relu,33,Adam,0.01,1.0,50,3000,1594,9.715249806796399e-09
softplus,relu,34,Adam,0.01,1.0,50,3000,,3.2785162369844963e-06
softplus,relu,35,Adam,0.01,1.0,50,3000,2295,9.806727089256112e-09
softplus,relu,36,Adam,0.01,1.0,50,3000,1663,9.455473891092813e-09
softplus,relu,37,Adam,0.01,1.0,50,3000,2255,9.700348480846904e-09
softplus,relu,38,Adam,0.01,1.0,50,3000,1204,9.826186937266003e-09
softplus,relu,39,Adam,0.01,1.0,50,3000,,1.3112588351214653e-06
softplus,relu,40,Adam,0.01,1.0,50,3000,1677,9.929083938187949e-09
softplus,relu,41,Adam,0.01,1.0,50,3000,,1.6074917310081884e-08
softplus,relu,42,Adam,0.01,1.0,50,3000,,0.010000000000502376
softplus,relu,43,Adam,0.01,1.0,50,3000,,0.020000305145906897
softplus,relu,44,Adam,0.01,1.0,50,3000,1854,9.016840874353961e-09
softplus,relu,45,Adam,0.01,1.0,50,3000,,0.10000004351546593
softplus,relu,46,Adam,0.01,1.0,50,3000,2798,9.804339465510503e-09
softplus,relu,47,Adam,0.01,1.0,50,3000,,0.020000000000299806
softplus,relu,48,Adam,0.01,1.0,50,3000,,0.01
softplus,relu,49,Adam,0.01,1.0,50,3000,,0.0200000000011805
softplus,relu,50,Adam,0.01,1.0,50,3000,,0.010000000043639618
softplus,relu,51,Adam,0.01,1.0,50,3000,,6.255029018459023e-07
softplus,relu,52,Adam,0.01,1.0,50,3000,,3.706245438518e-06
softplus,relu,53,Adam,0.01,1.0,50,3000,,0.0700035729574372
softplus,relu,54,Adam,0.01,1.0,50,3000,,0.010000752983699165
softplus,relu,55,Adam,0.01,1.0,50,3000,,0.010000000000000042
softplus,relu,56,Adam,0.01,1.0,50,3000,,0.010000000000601925
softplus,relu,57,Adam,0.01,1.0,50,3000,2061,9.837111093732975e-09
softplus,relu,58,Adam,0.01,1.0,50,3000,,6.163548565610351e-07
